"current_sweep [mA]","Force1.Force_z [mNewton]"
0,-453.590803266435
50,-503.539294087954
100,-540.53485993331
150,-616.900247804861
200,-585.907628033897
250,-584.358444399081
300,-600.554278638798
350,-624.456697960096
400,-647.822294166341
450,-664.351934230726
500,-681.294419384916
550,-703.35752535895
600,-706.493325581031
650,-725.700217483048
700,-810.968518707951
750,-831.196609270815
800,-931.026240388627
850,-951.847669175582
900,-974.151027045494
950,-886.041587102532
1000,-904.769808228546
